surface_m2,lien_site_parcours_bd,adres,dessinateur,commune_gemeente,adresse,naam_fresco_nl,date,nom_de_la_fresque,realisateur,link_site_striproute,image,maison_d_edition,coordonnees_geographiques
22.0,https://www.parcoursbd.brussels/fresques/larchange-xxe-ciel/,Kartuizersstraat 21 - 1000 Brussel,Yslaire,Bruxelles - Brussel,Rue des Chartreux 21 - 1000 Bruxelles,De Aartsengel,1998,L'ange de Sambre,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/larchange-xxe-ciel/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/09_archange_xx_ciel_rue_chartreux_04_vb-685x1024.jpg,"Glénat, Futuropolis","[50.84886539700538, 4.346443708294397]"
160.0,https://www.parcoursbd.brussels/fresques/les-reves-de-nic/,Fabrieksstraat 37 - 1000 Brussel,Hermann,Bruxelles - Brussel,Rue des Fabriques 37 - 1000 Bruxelles,De dromen van Nick,1999,Les rêves de Nic,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/les-reves-de-nic/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/12_reves_nic_rue_fabriques_01_vb-768x514.jpg,Dupuis,"[50.84886004340463, 4.340997437339567]"
30.0,https://www.parcoursbd.brussels/fresques/ric-hochet/,Bijstandstraat 9 - 1000 Brussel,Tibet et Duchâteau,Bruxelles - Brussel,Rue du Bon Secours 9 - 1000 Bruxelles,Rik Ringers,1994,Ric Hochet,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/ric-hochet/,https://www.parcoursbd.brussels/wp-content/uploads/2021/08/ric_hochet.rue_des_bons_secours.0271_0.jpg,Le Lombard,"[50.84596388417206, 4.347871198779004]"
32.0,https://www.parcoursbd.brussels/fresques/blondin-et-cirage/,Kapucijnenstraat 15 - 1000 Brussel,Jijé,Bruxelles - Brussel,Rue des Capucins 15 - 1000 Bruxelles,Blondie en Blinkie,1998,Blondin et Cirage,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/blondin-et-cirage/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/22_blondin_cirage_rue_capucins_03_vb-685x1024.jpg,Dupuis,"[50.83841043759439, 4.3464963491247985]"
180.0,https://www.parcoursbd.brussels/fresques/martine/,Koninginnelaan 325 - 1020 Laken,Marcel Marlier,Laeken - Laken,Avenue de la Reine 325 - 1020 Laeken,Tiny,2004,Martine,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/martine/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/32_martine_av_reine_06-768x1024.jpeg,Casterman,"[50.87622946480288, 4.3579607070126105]"
120.0,https://www.parcoursbd.brussels/fresques/le-roi-des-mouches/,Hubert Stiernetstraat 23 - 1020 Laken,Mezzo,Laeken - Laken,Rue Hubert Stiernet 23 - 1020 Laeken,De vliegenkoning,2007,Le Roi des Mouches,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/le-roi-des-mouches/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/33_roi_mouches_rue_stiernet_04-768x576.jpg,Glénat,"[50.876677686010645, 4.35819082074323]"
50.0,https://www.parcoursbd.brussels/fresques/le-petit-spirou/,Eeuwfeestlaan - Bruparck - 1020 Laken,Tome et Janry,Laeken - Laken,Bd du Centenaire - Bruparck - 1020 Laeken,De kleine Robbe,1996,Le Petit Spirou,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/le-petit-spirou/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/35_petit_spirou_bd_centenaire_03_vb-768x512.jpg,Dupuis,"[50.894935073980015, 4.338028159641729]"
40.0,https://www.parcoursbd.brussels/fresques/gaston-lagaffe/,Schildknaapstraat 15 - 1000 Brussel,Franquin,Bruxelles - Brussel,Rue de l'Ecuyer 15 - 1000 Bruxelles,Guust Flater,2007,Gaston Lagaffe,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/gaston-lagaffe/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/36_gaston_lagaffe_rue_ecuyer_02-768x1024.jpeg,"Dupuis, Marsu productions","[50.84930458073003, 4.35325459773236]"
64.0,https://www.parcoursbd.brussels/fresques/monsieur-jean/,Bogaardenstraat 28 - 1000 Brussel,Dupuy et Berberian,Bruxelles - Brussel,Rue des Bogards 28 - 1000 Bruxelles,Johan,2002,Monsieur Jean,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/monsieur-jean/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/37_monsieur_jean_rue_bogards_01-scaled-e1631002818434-768x933.jpg,"Humanoides, Dupuis, Oog en blik","[50.844438602984894, 4.348084505711593]"
77.0,https://www.parcoursbd.brussels/fresques/gil-jourdan/,Leopold I-straat 201 - 1020 Laken,Maurice Tillieux,Laeken - Laken,Rue Léopold 1er 201 - 1020 Laeken,Guus Slim,2009,Gil Jourdan,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/gil-jourdan/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/44_gil_jourdan_rue_leopold_02_vb-768x512.jpg,Dupuis,"[50.87721492699466, 4.3443809904907065]"
